Label,StartingPosition,NumberOfPositions,Converter
PersoonsgebondenNummer,1,12,convert_to_object
BrinnummerVoInstelling,13,4,convert_to_object
VestigingsnummerVoVestiging,17,2,convert_to_object
VooropleidingOorspronkelijkeCode,19,5,convert_to_object
Diplomajaar,24,4,convert_to_int64
GemiddeldCijferCijferlijst,28,3,convert_to_int_zero_to_nan
VakCode,31,4,convert_to_object
VakAfkorting,35,5,convert_to_object
AnderNiveau,40,3,convert_to_object
IndicatieDiplomavak,43,1,convert_to_object
CijferSchoolexamen,44,3,convert_to_int_zero_to_nan
BeoordelingSchoolexamen,47,1,convert_to_object
CijferEersteCentraalExamen,48,3,convert_to_int_zero_to_nan
CijferTweedeCentraalExamen,51,3,convert_to_int_zero_to_nan
CijferDerdeCentraalExamen,54,3,convert_to_int_zero_to_nan
EersteEindcijfer,57,2,convert_to_int_zero_to_nan
TweedeEindcijfer,59,2,convert_to_int_zero_to_nan
DerdeEindcijfer,61,2,convert_to_int_zero_to_nan
CijferCijferlijst,63,2,convert_to_int_zero_to_nan
Burgerservicenummer,65,9,convert_to_int_zero_to_nan
Onderwijsnummer,74,9,convert_to_int_zero_to_nan
